,Station_id,Inspection Station,latitude,longitude,Overall_inspection_count,Emissions_inspection_count,Overall_fails,Safety_fails,Emissions_fails,Overall_fail_rate,Safety_fail_rate,Emissions_fail_rate,Overall_fail_rate_per_station,Safety_fail_rate_per_station,Emissions_fail_rate_per_station
182,PB035512,SOUTH ACTON GAS,42.46792,-71.456573,6589,5657,476,342,151,0.001219437,0.001478491,0.000858779,0.072241615,0.05190469,0.026692593
183,PB006521,LYNDALE GARAGE,42.096078,-72.553665,8114,5410,475,175,309,0.001216875,0.000756538,0.001757369,0.058540794,0.021567661,0.057116451
184,PB005639,SULLIVAN TIRE CO INC,42.051672,-70.953495,4431,3824,473,245,238,0.001211752,0.001059153,0.001353572,0.106747912,0.055292259,0.062238494
185,PB005357,"WEST LYNN AUTO SERVICE, INC.",42.456566,-70.963068,4043,3025,468,290,204,0.001198942,0.001253691,0.001160205,0.115755627,0.071728914,0.067438017
186,PB037599,OXFORD SUNOCO,42.123633,-71.863934,6155,5191,468,329,155,0.001198942,0.001422291,0.000881528,0.076035743,0.053452478,0.029859372
187,PB005142,"WESTMINSTER GARAGE, INC.",42.549646,-71.922711,4619,3684,467,363,124,0.001196381,0.001569275,0.000705223,0.101104135,0.078588439,0.033659066
188,PB050685,UNIVERSAL AUTO REPAIR,42.704178,-71.181002,4447,3061,466,0,466,0.001193819,0,0.002650272,0.104789746,0,0.152237831
189,PB004990,SUDBURY MOBIL,42.361004,-71.422666,6001,5242,465,324,162,0.001191257,0.001400675,0.000921339,0.077487085,0.053991001,0.030904235
190,PB004755,C.O. & S. GARAGE INC.,42.561518,-72.038352,4314,3277,463,321,160,0.001186133,0.001387706,0.000909965,0.107324988,0.074408901,0.048825145
191,PB012696,OAK SQUARE SUNOCO,42.350238,-71.167323,8621,6413,463,101,368,0.001186133,0.00043663,0.002092919,0.053706067,0.011715578,0.05738344
192,PB036073,HIGH STREET EXPRESS SERVICE,42.365686,-71.228639,4943,3636,461,251,224,0.00118101,0.001085091,0.001273951,0.0932632,0.050778879,0.061606161
193,PB005424,GASCO AUTO SERVICE,42.099769,-71.503491,6450,4927,461,250,224,0.00118101,0.001080768,0.001273951,0.071472868,0.03875969,0.045463771
194,PB005635,MAPLE STREET AUTO BODY INC.,42.333726,-71.545742,6118,4663,460,229,250,0.001178448,0.000989983,0.00142182,0.07518797,0.037430533,0.053613554
195,PB005249,US GAS & AUTO REPAIR INC,42.287301,-71.150167,3306,2772,457,334,152,0.001170762,0.001443906,0.000864466,0.138233515,0.101028433,0.054834055
196,PB035468,LOWELL STREET GETTY,42.725832,-71.19141,3784,3067,456,325,155,0.0011682,0.001404998,0.000881528,0.1205074,0.085887949,0.050537985
197,PB005617,CERTIFIED AUTO & TRUCK REPAIR LLC,42.435472,-71.685637,3630,2383,455,279,202,0.001165639,0.001206137,0.00114883,0.125344353,0.076859504,0.0847671
198,PB005544,NEW ENGLAND TIRE,41.945584,-71.285787,2408,1946,454,311,159,0.001163077,0.001344475,0.000904277,0.188538206,0.129152824,0.081706064
199,PB007689,PLEASANT STREET SHELL,42.404118,-71.166696,5157,4554,454,366,104,0.001163077,0.001582244,0.000591477,0.08803568,0.070971495,0.022837066
200,PB042777,MANSFIELD SERVICE INC.,42.030982,-71.227384,5914,5352,453,291,175,0.001160515,0.001258014,0.000995274,0.076597903,0.049205276,0.032698057
201,PB004992,REGANS INC,42.347703,-71.246245,6159,5508,453,339,128,0.001160515,0.001465521,0.000727972,0.073550901,0.055041403,0.023238925
202,PB004672,GALLAGHERS OLDE FASHIONED SERVICE INC,42.148096,-72.564244,5326,3587,452,237,226,0.001157953,0.001024568,0.001285325,0.084866692,0.044498686,0.063005297
203,PB007494,JIM'S AUTO SERVICE TOWING INC.,41.986174,-71.24179,3645,2914,451,341,130,0.001155391,0.001474167,0.000739346,0.123731139,0.093552812,0.044612217
204,PB036192,SAAB ENERGY,42.101508,-71.054481,2874,2387,446,293,190,0.001142582,0.00126666,0.001080583,0.155184412,0.101948504,0.079597822
205,PB050766,BAY ROAD INSPECTION LLC,42.301363,-72.424001,10761,7701,445,192,258,0.00114002,0.00083003,0.001467318,0.041353034,0.017842208,0.033502143
206,PB005092,BURKE AUTOMOTIVE,42.467914,-71.147813,4032,3318,443,279,191,0.001134896,0.001206137,0.00108627,0.109871032,0.069196429,0.057564798
207,PB050344,MODERN AUTO SALES,42.65192,-71.400555,3216,2927,442,364,100,0.001132335,0.001573598,0.000568728,0.137437811,0.11318408,0.034164674
208,PB050296,MIGUEL TOWING & INSPECTION 2,42.1393,-72.5262,3241,2060,441,296,172,0.001129773,0.001279629,0.000978212,0.136069114,0.091329836,0.083495146
209,PB005592,AUDY'S MOBIL,42.3301,-71.12607,6115,5492,441,184,273,0.001129773,0.000795445,0.001552627,0.072117743,0.030089943,0.049708667
210,PB005119,RTE 3A SHELL,42.53542,-71.237156,5452,4605,440,291,159,0.001127211,0.001258014,0.000904277,0.080704329,0.053374908,0.034527687
211,PB005559,BASSAM KAFAHI DBA READING SQ SERVICE,42.527012,-71.102118,7963,7219,440,266,190,0.001127211,0.001149937,0.001080583,0.055255557,0.033404496,0.026319435
212,PB014699,PRIME TECH,42.334813,-71.837306,3711,3239,438,372,94,0.001122087,0.001608183,0.000534604,0.118027486,0.100242522,0.029021303
213,PB011627,"VERYLS AUTOMOTIVE SERVICES, INC.",42.242131,-72.581141,5307,4455,438,332,119,0.001122087,0.00143526,0.000676786,0.082532504,0.062558884,0.02671156
214,PB004557,"HILTON OIL CO., INC.",42.699323,-71.153772,3508,2342,438,275,187,0.001122087,0.001188845,0.001063521,0.124857469,0.078392246,0.079846285
215,PB035081,"MIKE'S AUTO SERVICE & REPAIR, INC.",42.095037,-72.628105,4764,3708,437,273,177,0.001119525,0.001180199,0.001006648,0.091729639,0.057304786,0.047734628
216,PB005415,X & L'S SERVICE,42.562485,-70.868181,5920,4932,437,218,235,0.001119525,0.00094243,0.001336511,0.073817568,0.036824324,0.047648013
217,PB010811,ED & VINS GARAGE OF LYNN INC,42.464984,-70.935055,4483,3780,436,286,178,0.001116963,0.001236399,0.001012336,0.097256302,0.063796565,0.047089947
218,PB014398,DENNIS CITGO,42.587758,-72.213647,9225,6345,434,122,317,0.00111184,0.000527415,0.001802868,0.04704607,0.013224932,0.049960599
